# Year Built,Floor Area,Energy Star Score,Site EUI
1.955000000000000000e+03,2.927642948700000125e+04,9.300000000000000000e+01,1.463730223999999964e+02
1.950000000000000000e+03,1.168013677199999984e+04,5.800000000000000000e+01,2.917996674999999982e+02
2.017000000000000000e+03,2.106250364500000069e+04,3.600000000000000000e+01,2.205059109000000035e+02
1.920000000000000000e+03,1.716847439999999915e+04,8.500000000000000000e+01,1.899063782000000060e+02
1.981000000000000000e+03,1.182311448899999959e+04,7.000000000000000000e+00,2.000010693999999773e+02
2.016000000000000000e+03,2.303994399999999951e+04,3.300000000000000000e+01,1.615150591999999961e+02
1.968000000000000000e+03,1.346368856600000072e+04,9.700000000000000000e+01,1.208208352999999846e+02
2.002000000000000000e+03,8.074850051000000349e+03,1.000000000000000000e+02,9.053676169999999956e+01
1.962000000000000000e+03,1.815482555099999809e+04,3.700000000000000000e+01,2.056793332000000021e+02
1.972000000000000000e+03,2.047006121400000120e+04,8.400000000000000000e+01,1.716097503999999958e+02
1.974000000000000000e+03,1.348951560000000063e+04,4.700000000000000000e+01,2.334397339999999872e+02
1.950000000000000000e+03,1.651099986899999931e+04,8.100000000000000000e+01,2.151431062000000054e+02
1.927000000000000000e+03,6.428144376000000193e+03,9.100000000000000000e+01,1.835971962000000133e+02
1.959000000000000000e+03,6.689015999999999622e+03,6.600000000000000000e+01,2.331242749000000174e+02
1.962000000000000000e+03,8.779333500000000640e+03,7.600000000000000000e+01,1.949537237999999775e+02
1.912000000000000000e+03,2.137967448700000023e+04,9.600000000000000000e+01,1.299691492000000039e+02
1.949000000000000000e+03,5.416244899999999689e+03,1.000000000000000000e+00,1.295590523699999949e+03
2.013000000000000000e+03,2.472780570399999851e+04,5.400000000000000000e+01,1.441648087000000089e+02
1.930000000000000000e+03,9.196096357999999600e+04,7.000000000000000000e+01,1.848590326000000061e+02
1.961000000000000000e+03,9.521628469999999652e+03,8.200000000000000000e+01,1.952691829000000041e+02
1.950000000000000000e+03,1.651099986899999931e+04,8.100000000000000000e+01,1.895909191000000078e+02
1.927000000000000000e+03,2.192455058199999985e+04,8.000000000000000000e+01,1.331237402000000145e+02
1.927000000000000000e+03,2.348513517599999977e+04,5.600000000000000000e+01,1.495276133999999786e+02
1.909000000000000000e+03,9.698144169999999576e+03,1.000000000000000000e+02,6.340727910000000378e+01
1.942000000000000000e+03,4.645149999999999636e+03,8.300000000000000000e+01,2.785503852999999594e+02
1.970000000000000000e+03,9.197397000000000844e+03,2.200000000000000000e+01,2.741339578999999844e+02
1.923000000000000000e+03,6.531080899999999929e+03,1.000000000000000000e+02,9.558410729999999944e+01
1.937000000000000000e+03,8.421842756000000008e+03,5.700000000000000000e+01,2.353324885999999765e+02
1.926000000000000000e+03,8.489661946000000171e+03,8.500000000000000000e+01,2.107266787999999735e+02
1.930000000000000000e+03,9.196096357999999600e+04,9.200000000000000000e+01,1.611996000999999978e+02
1.923000000000000000e+03,4.788313522999999805e+03,1.000000000000000000e+02,8.706671160000000498e+01
1.980000000000000000e+03,1.040513600000000042e+04,7.700000000000000000e+01,1.637232728999999836e+02
2.003000000000000000e+03,3.787748212999999669e+04,8.600000000000000000e+01,1.671933229999999924e+02
2.002000000000000000e+03,9.259827815999999075e+03,1.500000000000000000e+01,2.167204016999999965e+02
1.967000000000000000e+03,1.839479400000000169e+04,3.600000000000000000e+01,2.962160949000000301e+02
1.920000000000000000e+03,9.046615431000000171e+03,3.600000000000000000e+01,4.413272809000000052e+02
1.955000000000000000e+03,9.364529496999999537e+03,7.600000000000000000e+01,2.056793332000000021e+02
1.929000000000000000e+03,5.361246323999999731e+03,9.800000000000000000e+01,1.457421042000000000e+02
1.972000000000000000e+03,6.886899389999999585e+03,6.000000000000000000e+01,2.817049762999999984e+02
1.930000000000000000e+03,2.684608700699999827e+04,9.700000000000000000e+01,1.675087820999999906e+02
1.967000000000000000e+03,4.612085822300000291e+04,7.200000000000000000e+01,2.170358607999999947e+02
1.968000000000000000e+03,2.348587840000000142e+04,8.700000000000000000e+01,1.123034396000000044e+02
1.967000000000000000e+03,9.058599917999999889e+03,9.600000000000000000e+01,1.747643413999999780e+02
1.964000000000000000e+03,7.176013525999999729e+03,7.000000000000000000e+01,2.154585652999999752e+02
1.941000000000000000e+03,7.857921545999999580e+03,9.400000000000000000e+01,1.618305182999999943e+02
2.013000000000000000e+03,2.211091400000000067e+04,7.000000000000000000e+00,1.965310192999999970e+02
1.964000000000000000e+03,1.741633960400000069e+04,8.800000000000000000e+01,1.785498506000000134e+02
1.918000000000000000e+03,2.564977507599999808e+04,7.700000000000000000e+01,1.164044078999999954e+02
1.941000000000000000e+03,7.857921545999999580e+03,9.400000000000000000e+01,1.564677135999999962e+02
1.941000000000000000e+03,5.949693925999999919e+03,5.700000000000000000e+01,2.214522881999999981e+02
2.012000000000000000e+03,3.469276729000000341e+04,9.600000000000000000e+01,1.028396666000000010e+02
1.965000000000000000e+03,2.145957106700000077e+04,1.700000000000000000e+01,2.851750264000000357e+02
1.959000000000000000e+03,1.071385266899999988e+04,1.000000000000000000e+00,4.801287501999999563e+02
1.942000000000000000e+03,2.074375345200000083e+04,2.100000000000000000e+01,3.173518545999999674e+02
1.960000000000000000e+03,1.411605343200000061e+04,3.300000000000000000e+01,2.927460447999999928e+02
1.964000000000000000e+03,2.580185728699999891e+04,7.000000000000000000e+00,4.340717215999999894e+02
1.960000000000000000e+03,2.552797924300000159e+04,2.200000000000000000e+01,3.545760283999999842e+02
