# Energy Star Score,Floor Area,Occupancy,Site EUI,Year Built
1.000000000000000000e+02,2.047582120000000032e+03,1.000000000000000000e+02,8.675125249999999255e+01,1.990000000000000000e+03
5.700000000000000000e+01,2.428112807999999859e+03,9.000000000000000000e+01,1.400638404000000037e+02,1.968000000000000000e+03
7.900000000000000000e+01,2.315142760000000180e+03,1.000000000000000000e+02,1.252372627000000023e+02,1.961000000000000000e+03
9.200000000000000000e+01,4.073239132000000154e+03,1.000000000000000000e+02,9.779232100000000116e+01,1.985000000000000000e+03
6.900000000000000000e+01,2.327498858999999811e+03,1.000000000000000000e+02,1.621459773999999925e+02,1.989000000000000000e+03
7.500000000000000000e+01,2.371627783999999792e+03,1.000000000000000000e+02,1.113570622999999813e+02,1.968000000000000000e+03
1.000000000000000000e+00,9.290299999999999272e+03,1.000000000000000000e+02,6.009495855000000120e+02,1.972000000000000000e+03
6.500000000000000000e+01,2.001688038000000006e+03,1.000000000000000000e+02,1.132498168999999990e+02,1.972000000000000000e+03
8.400000000000000000e+01,4.904163564000000406e+03,1.000000000000000000e+02,9.873869829999999581e+01,1.975000000000000000e+03
1.000000000000000000e+02,6.329295584000000417e+03,1.000000000000000000e+02,4.384881490000000070e+01,1.924000000000000000e+03
6.700000000000000000e+01,4.024465056999999888e+03,1.000000000000000000e+02,1.356474130000000002e+02,1.971000000000000000e+03
4.100000000000000000e+01,4.574822428999999829e+03,1.000000000000000000e+02,1.747643413999999780e+02,1.929000000000000000e+03
4.700000000000000000e+01,4.212686534999999822e+03,1.000000000000000000e+02,1.511049088999999981e+02,1.965000000000000000e+03
1.000000000000000000e+02,4.402580267000000276e+03,2.500000000000000000e+01,1.703479139999999958e+01,1.962000000000000000e+03
9.900000000000000000e+01,1.701741412199999832e+04,9.500000000000000000e+01,1.113570622999999813e+02,2.004000000000000000e+03
9.100000000000000000e+01,2.105553592000000208e+03,1.000000000000000000e+02,1.123034396000000044e+02,1.992000000000000000e+03
8.900000000000000000e+01,3.802891402000000198e+03,1.000000000000000000e+02,6.498457460000000196e+01,1.972000000000000000e+03
3.200000000000000000e+01,2.262689726199999859e+04,9.000000000000000000e+01,1.356474130000000002e+02,1.926000000000000000e+03
