# Floor Area,Year Built,Energy Star Score,Site EUI
1.039879072509999969e+05,2.003000000000000000e+03,3.100000000000000000e+01,3.536296510999999896e+02
4.877407500000000255e+03,2.000000000000000000e+03,7.100000000000000000e+01,2.246068792000000087e+02
9.745989214999999604e+03,2.006000000000000000e+03,2.800000000000000000e+01,3.006325223000000051e+02
2.787229354500000045e+04,2.003000000000000000e+03,8.400000000000000000e+01,1.593068455000000085e+02
3.716119999999999709e+04,1.968000000000000000e+03,6.400000000000000000e+01,2.807585990000000038e+02
8.037967560000000049e+03,1.925000000000000000e+03,8.600000000000000000e+01,2.514209026999999992e+02
6.331339450000000397e+03,2.016000000000000000e+03,8.000000000000000000e+00,3.955857114000000365e+02
8.757129682999999204e+03,1.955000000000000000e+03,1.300000000000000000e+01,2.804431399000000056e+02
8.268367000000000189e+03,1.970000000000000000e+03,8.400000000000000000e+01,2.501590662999999779e+02
4.923859000000000378e+03,1.925000000000000000e+03,8.700000000000000000e+01,1.741334232000000100e+02
6.070282019999999648e+03,1.983000000000000000e+03,5.100000000000000000e+01,2.665629394999999704e+02
4.849536600000000362e+03,1.972000000000000000e+03,8.800000000000000000e+01,2.542600345999999831e+02
2.649184786800000074e+04,1.981000000000000000e+03,2.600000000000000000e+01,2.129348924999999895e+02
6.781918999999999869e+03,1.915000000000000000e+03,7.500000000000000000e+01,1.996856102999999791e+02
6.503210000000000036e+03,1.919000000000000000e+03,5.400000000000000000e+01,3.085189997999999605e+02
2.046829605699999956e+04,2.006000000000000000e+03,1.600000000000000000e+01,4.542611039999999889e+02
8.603746830000000045e+03,2.009000000000000000e+03,8.000000000000000000e+01,2.072566286999999932e+02
4.838388240000000224e+03,1.970000000000000000e+03,8.700000000000000000e+01,2.072566286999999932e+02
6.201646861999999601e+03,1.929000000000000000e+03,9.100000000000000000e+01,2.053638740999999754e+02
1.021932999999999993e+04,1.920000000000000000e+03,3.300000000000000000e+01,1.880136235999999883e+02
5.115889500999999655e+03,1.925000000000000000e+03,6.300000000000000000e+01,2.921151265999999964e+02
1.057886461000000054e+04,1.978000000000000000e+03,1.800000000000000000e+01,2.110421379000000002e+02
5.461860273000000234e+03,1.940000000000000000e+03,8.400000000000000000e+01,2.466890161999999975e+02
6.699699845000000096e+03,1.929000000000000000e+03,5.400000000000000000e+01,2.189286154000000124e+02
5.966230660000000171e+03,2.001000000000000000e+03,3.000000000000000000e+00,3.230301183999999921e+02
1.321926077299999997e+04,1.988000000000000000e+03,2.000000000000000000e+01,2.280769292999999891e+02
