# Year Built,Floor Area,Energy Star Score,Site EUI
1.969000000000000000e+03,8.557666941999999835e+03,1.100000000000000000e+01,3.072571634000000245e+02
1.925000000000000000e+03,5.930741713999999774e+03,5.000000000000000000e+00,3.059953269999999748e+02
1.966000000000000000e+03,6.070282019999999648e+03,6.200000000000000000e+01,3.022098177999999962e+02
1.957000000000000000e+03,3.132131741999999940e+04,3.600000000000000000e+01,2.971624722000000247e+02
1.922000000000000000e+03,2.249711177099999986e+04,5.000000000000000000e+01,2.921151265999999964e+02
1.955000000000000000e+03,1.031223300000000017e+04,4.300000000000000000e+01,2.902223720000000071e+02
1.965000000000000000e+03,5.665596551999999974e+03,7.300000000000000000e+01,2.899069129000000089e+02
1.925000000000000000e+03,4.449310476000000199e+04,7.000000000000000000e+00,2.899069129000000089e+02
1.929000000000000000e+03,7.742907632000000376e+03,2.500000000000000000e+01,2.895914538000000107e+02
1.961000000000000000e+03,4.814614362299999630e+04,4.000000000000000000e+00,2.883296174000000178e+02
1.989000000000000000e+03,5.323592738100000133e+04,1.000000000000000000e+01,2.839131899999999860e+02
1.926000000000000000e+03,6.636247096000000056e+03,2.100000000000000000e+01,2.832822717999999895e+02
1.995000000000000000e+03,9.101149492000000464e+03,2.400000000000000000e+01,2.817049762999999984e+02
1.921000000000000000e+03,2.168095891599999959e+04,3.200000000000000000e+01,2.782349262000000181e+02
2.000000000000000000e+03,5.275403951999999663e+03,1.400000000000000000e+01,2.779194670999999630e+02
2.016000000000000000e+03,1.101978224799999953e+04,1.000000000000000000e+00,2.766576307000000270e+02
1.931000000000000000e+03,7.432239999999999782e+03,1.600000000000000000e+01,2.763421715999999719e+02
1.965000000000000000e+03,7.247827545000000100e+03,4.800000000000000000e+01,2.757112534000000323e+02
1.965000000000000000e+03,5.109664999999999964e+03,3.000000000000000000e+01,2.738184987999999862e+02
1.920000000000000000e+03,1.192289231099999961e+04,7.100000000000000000e+01,2.738184987999999862e+02
1.938000000000000000e+03,5.714277723999999580e+03,2.300000000000000000e+01,2.738184987999999862e+02
1.923000000000000000e+03,2.493340004300000146e+04,5.700000000000000000e+01,2.716102850999999987e+02
1.954000000000000000e+03,1.235163965599999938e+04,5.200000000000000000e+01,2.712948260000000005e+02
1.964000000000000000e+03,1.276487219999999979e+04,7.600000000000000000e+01,2.665629394999999704e+02
1.967000000000000000e+03,7.197381215999999768e+03,5.000000000000000000e+01,2.656165621999999757e+02
1.916000000000000000e+03,5.445973860000000059e+03,4.300000000000000000e+01,2.653011030999999775e+02
1.982000000000000000e+03,7.199703790999999910e+03,4.500000000000000000e+01,2.649856439999999793e+02
1.965000000000000000e+03,1.542654314999999951e+04,4.800000000000000000e+01,2.649856439999999793e+02
2.015000000000000000e+03,5.079871007899999677e+04,5.000000000000000000e+00,2.646701849000000379e+02
1.933000000000000000e+03,7.316111249999999927e+03,5.300000000000000000e+01,2.646701849000000379e+02
1.964000000000000000e+03,5.340064440000000104e+03,7.300000000000000000e+01,2.640392666999999847e+02
1.929000000000000000e+03,8.876695843999999852e+03,3.300000000000000000e+01,2.627774302999999918e+02
1.965000000000000000e+03,7.920259458999999879e+03,2.800000000000000000e+01,2.621465120999999954e+02
1.961000000000000000e+03,5.471336379000000306e+03,2.800000000000000000e+01,2.612001348000000007e+02
1.959000000000000000e+03,6.943978993199999968e+04,6.200000000000000000e+01,2.608846757000000025e+02
1.996000000000000000e+03,6.475803614999999809e+03,4.700000000000000000e+01,2.602537575000000061e+02
2.015000000000000000e+03,4.645149999999999636e+03,3.800000000000000000e+01,2.599382984000000079e+02
1.967000000000000000e+03,2.042007939999999871e+04,7.000000000000000000e+00,2.561527892000000293e+02
1.951000000000000000e+03,4.028274079999999958e+04,7.500000000000000000e+01,2.558373300999999742e+02
1.924000000000000000e+03,2.593006342700000096e+04,2.600000000000000000e+01,2.552064119000000062e+02
1.937000000000000000e+03,5.527728500000000167e+03,4.100000000000000000e+01,2.548909527999999796e+02
1.965000000000000000e+03,3.596433065099999658e+04,4.900000000000000000e+01,2.539445754999999849e+02
1.970000000000000000e+03,5.388373999999999796e+03,3.400000000000000000e+01,2.517363617999999974e+02
1.981000000000000000e+03,1.075064225699999952e+04,3.900000000000000000e+01,2.492126889999999833e+02
2.003000000000000000e+03,1.170522058199999992e+04,1.300000000000000000e+01,2.482663117000000170e+02
2.003000000000000000e+03,1.170522058199999992e+04,1.300000000000000000e+01,2.482663117000000170e+02
1.969000000000000000e+03,5.641720481000000291e+03,3.700000000000000000e+01,2.482663117000000170e+02
1.962000000000000000e+03,4.805686383999999634e+03,4.700000000000000000e+01,2.479508525999999620e+02
2.006000000000000000e+03,6.134570896000000175e+03,1.300000000000000000e+01,2.466890161999999975e+02
1.989000000000000000e+03,5.459444795000000340e+03,5.900000000000000000e+01,2.460580980000000011e+02
1.966000000000000000e+03,1.976437002600000051e+04,4.500000000000000000e+01,2.454271797999999762e+02
1.995000000000000000e+03,2.013421686899999986e+04,6.400000000000000000e+01,2.451117207000000064e+02
1.963000000000000000e+03,8.677140199999999822e+03,5.800000000000000000e+01,2.441653434000000118e+02
1.966000000000000000e+03,5.047605795999999827e+03,4.400000000000000000e+01,2.422725887999999941e+02
2.013000000000000000e+03,3.420883556300000055e+04,4.800000000000000000e+01,2.410107524000000012e+02
1.969000000000000000e+03,1.755866700000000128e+04,4.500000000000000000e+01,2.410107524000000012e+02
1.967000000000000000e+03,1.939452318300000115e+04,4.600000000000000000e+01,2.403798342000000048e+02
1.815000000000000000e+03,7.407434898999999859e+03,5.300000000000000000e+01,2.397489160000000084e+02
1.947000000000000000e+03,1.400893627299999935e+04,7.700000000000000000e+01,2.397489160000000084e+02
1.960000000000000000e+03,5.221148599999999533e+03,6.100000000000000000e+01,2.394334569000000101e+02
