# Year Built,Number of Floors,Floor Area,Energy Star Score,Site EUI
1.925000000000000000e+03,3.000000000000000000e+00,2.647735499999999774e+03,6.800000000000000000e+01,9.558410729999999944e+01
2.003000000000000000e+03,1.300000000000000000e+01,9.820497421000000031e+03,5.800000000000000000e+01,1.517358270999999945e+02
1.925000000000000000e+03,9.000000000000000000e+00,8.041683680000000095e+03,6.100000000000000000e+01,1.656160275000000013e+02
1.978000000000000000e+03,1.300000000000000000e+01,7.361169205000000147e+03,3.900000000000000000e+01,1.511049088999999981e+02
2.001000000000000000e+03,6.000000000000000000e+00,8.868148767999999109e+03,8.800000000000000000e+01,1.160889487999999830e+02
1.992000000000000000e+03,8.000000000000000000e+00,1.258213199899999927e+04,9.200000000000000000e+01,9.621502549999999587e+01
1.924000000000000000e+03,3.000000000000000000e+00,3.102960199999999986e+03,8.000000000000000000e+01,1.690860776000000101e+02
1.994000000000000000e+03,7.000000000000000000e+00,7.900656925999999658e+03,6.400000000000000000e+01,1.457421042000000000e+02
2.000000000000000000e+03,3.000000000000000000e+00,3.494917957000000115e+03,8.500000000000000000e+01,8.265028420000000153e+01
1.993000000000000000e+03,3.000000000000000000e+00,2.246208733999999822e+03,7.600000000000000000e+01,8.959038439999999071e+01
1.918000000000000000e+03,3.000000000000000000e+00,9.988744753999999375e+03,8.600000000000000000e+01,1.230290490000000005e+02
1.982000000000000000e+03,2.400000000000000000e+01,1.560222272300000077e+04,1.000000000000000000e+02,5.362804699999999514e+01
1.986000000000000000e+03,4.000000000000000000e+00,3.620429909999999836e+03,8.400000000000000000e+01,7.287105210000000000e+01
1.989000000000000000e+03,5.000000000000000000e+00,2.289873144000000138e+03,9.600000000000000000e+01,6.877008379999999477e+01
1.988000000000000000e+03,4.000000000000000000e+00,3.183785809999999856e+03,6.100000000000000000e+01,9.653048460000000830e+01
1.986000000000000000e+03,4.000000000000000000e+00,2.309940192000000025e+03,5.700000000000000000e+01,7.507926580000000172e+01
1.990000000000000000e+03,5.000000000000000000e+00,3.627862149999999929e+03,9.600000000000000000e+01,1.173507852000000042e+02
1.980000000000000000e+03,8.000000000000000000e+00,7.227853399999999965e+03,3.900000000000000000e+01,1.892754600000000096e+02
2.001000000000000000e+03,1.600000000000000000e+01,3.801005471099999704e+04,9.600000000000000000e+01,1.113570622999999813e+02
2.001000000000000000e+03,7.000000000000000000e+00,8.788159284999999727e+03,7.400000000000000000e+01,7.854931589999999630e+01
1.987000000000000000e+03,4.000000000000000000e+00,3.240456639999999879e+03,9.000000000000000000e+01,7.571018399999999815e+01
1.902000000000000000e+03,4.000000000000000000e+00,5.274660727999999835e+03,1.000000000000000000e+02,7.949569319999999095e+01
1.990000000000000000e+03,6.000000000000000000e+00,7.235935961000000134e+03,8.900000000000000000e+01,1.306000674000000004e+02
1.973000000000000000e+03,4.000000000000000000e+00,2.497232640000000174e+03,1.000000000000000000e+01,1.593068455000000085e+02
1.987000000000000000e+03,4.000000000000000000e+00,2.145873493999999937e+03,9.800000000000000000e+01,6.593095189999999661e+01
